Feature,Coefficient,Abs_Coefficient
Curricular units 2nd sem (approved),-2.7546282309383456,2.7546282309383456
Curricular units 2nd sem (enrolled),1.2171429629052166,1.2171429629052166
Curricular units 1st sem (approved),-1.0140960234536665,1.0140960234536665
Tuition fees up to date,-0.5772110255073006,0.5772110255073006
Debtor,0.46237001596875593,0.46237001596875593
Course,0.36093326162699346,0.36093326162699346
Scholarship holder,-0.3009911176659903,0.3009911176659903
Curricular units 1st sem (credited),0.2808172059852654,0.2808172059852654
Gender,0.22129264431851253,0.22129264431851253
Curricular units 2nd sem (evaluations),0.18581814631310167,0.18581814631310167
Application mode,0.17741761758723443,0.17741761758723443
Daytime/evening attendance,0.12989823384779325,0.12989823384779325
Displaced,0.11773726631801182,0.11773726631801182
Curricular units 1st sem (evaluations),0.11051881915138526,0.11051881915138526
Curricular units 1st sem (enrolled),0.072516383530234,0.072516383530234
Curricular units 2nd sem (credited),0.0649135325364658,0.0649135325364658
Unemployment rate,0.05801588382717888,0.05801588382717888
GDP,0.046457918039995195,0.046457918039995195
Previous qualification,-0.03946340511188111,0.03946340511188111
Application order,0.038787654319360355,0.038787654319360355
Inflation rate,-0.032710310308649335,0.032710310308649335
Mother's occupation,-0.021422694052335368,0.021422694052335368
Father's qualification,-0.018698875310081065,0.018698875310081065
Curricular units 1st sem (without evaluations),0.013354657858644469,0.013354657858644469
Marital status,0.0,0.0
Mother's qualification,0.0,0.0
Age at enrollment,0.0,0.0
Educational special needs,0.0,0.0
Father's occupation,0.0,0.0
Nationality,0.0,0.0
Curricular units 1st sem (grade),0.0,0.0
International,0.0,0.0
Curricular units 2nd sem (grade),0.0,0.0
Curricular units 2nd sem (without evaluations),0.0,0.0
